ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
108,0,0,0,0,877,DE,"2016-11-18 21:00:00",0,0,0,0,365,,,,,,47266
390,0,0,0,0,877,NL,"2016-11-18 08:00:00",0,0,0,0,1899,,,,,,533
12,0,0,0,0,877,SE,"2016-11-18 01:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,CH,"2016-11-18 23:00:00",0,0,0,0,365,,,,,,47266
66,0,0,0,0,877,CH,"2016-11-18 15:00:00",0,0,0,0,1899,,,,,,533
294,0,0,0,0,877,UK,"2016-11-18 14:00:00",0,0,0,0,1899,,,,,,533
42,0,0,0,0,877,UK,"2016-11-18 19:00:00",0,0,0,0,365,,,,,,533
390,0,0,0,0,877,NL,"2016-11-18 21:00:00",0,0,0,0,1899,,,,,,533
90,0,0,0,0,877,IE,"2016-11-18 20:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,AT,"2016-11-18 13:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-18 04:00:00",0,0,0,0,334322,,,default,ec372962f48f3529_default,,2962
24,0,0,0,0,877,AT,"2016-11-18 18:00:00",0,0,0,0,365,,,,,,47266
42,0,0,0,0,877,AT,"2016-11-18 22:00:00",0,0,0,0,365,,,,,,533
389,0,0,0,0,877,NL,"2016-11-18 11:00:00",0,0,0,0,1899,,,,,,533
389,0,0,0,0,877,NL,"2016-11-18 12:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,SA,"2016-11-18 02:00:00",1,0,0,0,0,,,,,,123959
18,0,0,0,0,877,SE,"2016-11-18 15:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,UK,"2016-11-18 10:00:00",0,0,0,0,142476,,,,,,533
138,0,0,0,0,877,IT,"2016-11-18 16:00:00",0,0,0,0,1899,,,,,,533
2,1,0,0,2514,877,BR,"2016-11-18 10:00:00",0,0,0,0,344565,,,,[sas_siteId],,2385
60,0,0,0,0,877,NL,"2016-11-18 02:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,DK,"2016-11-18 07:00:00",0,0,0,0,365,,,,,,47266
174,0,0,0,0,877,US,"2016-11-18 11:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 02:00:00",0,0,0,0,142476,,,,,,533
0,0,0,0,0,877,MY,"2016-11-18 23:00:00",6,1,0,0,0,,,,,,2385
24,0,0,0,0,877,CH,"2016-11-18 13:00:00",0,0,0,0,365,,,,,,533
0,0,1,1,98,877,UA,"2016-11-18 05:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
108,0,0,0,0,877,SE,"2016-11-18 18:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 03:00:00",0,0,0,0,142476,,,,,,533
1,1,0,0,214,877,US,"2016-11-18 16:00:00",0,0,0,0,12738,,,14305,,,2962
0,0,0,0,0,877,US,"2016-11-18 05:00:00",0,8,0,0,0,,,,,,114023
0,0,1,1,98,877,CN,"2016-11-18 18:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,57df892380dcaa721e00001e,2962
6,0,0,0,0,877,CH,"2016-11-18 10:00:00",0,0,0,0,365,,,,,,47266
107,0,0,0,0,877,SE,"2016-11-18 03:00:00",0,0,0,0,1899,,,,,,533
0,0,1,1,98,877,RU,"2016-11-18 11:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,54328684a361795405000085,2962
6,0,0,0,0,877,CA,"2016-11-18 13:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,IT,"2016-11-18 03:00:00",0,0,0,0,365,,,,,,47266
79,0,0,0,0,877,DE,"2016-11-18 00:00:00",0,0,0,0,365,,,,,,533
90,0,0,0,0,877,IE,"2016-11-18 22:00:00",0,0,0,0,1899,,,,,,533
138,0,0,0,0,877,IT,"2016-11-18 13:00:00",0,0,0,0,1899,,,,,,533
156,0,0,0,0,877,DK,"2016-11-18 05:00:00",0,0,0,0,1899,,,,,,533
48,0,0,0,0,877,NL,"2016-11-18 10:00:00",0,0,0,0,365,,,,,,533
108,0,0,0,0,877,DE,"2016-11-18 01:00:00",0,0,0,0,365,,,,,,47266
90,0,0,0,0,877,IE,"2016-11-18 15:00:00",0,0,0,0,1899,,,,,,533
12,0,0,0,0,877,IE,"2016-11-18 08:00:00",0,0,0,0,365,,,,,,533
6,0,0,0,0,877,CA,"2016-11-18 10:00:00",0,0,0,0,365,,,,,,47266
1,1,0,0,1072,877,AZ,"2016-11-18 14:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
0,0,1,0,98,877,RU,"2016-11-18 01:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
30,0,0,0,0,877,NL,"2016-11-18 06:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,CH,"2016-11-18 18:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,ZA,"2016-11-18 03:00:00",1,1,0,0,0,,,,,,2385
2,2,0,0,2414,877,US,"2016-11-18 05:00:00",0,0,0,0,334322,,,default,ec372962f48f3529_default,,2962
0,0,7,4,98,877,RU,"2016-11-18 12:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
30,0,0,0,0,877,AT,"2016-11-18 02:00:00",0,0,0,0,142476,,,,,,533
48,0,0,0,0,877,DE,"2016-11-18 15:00:00",0,0,0,0,142476,,,,,,533
390,0,0,0,0,877,NL,"2016-11-18 18:00:00",0,0,0,0,1899,,,,,,533
144,0,0,0,0,877,CA,"2016-11-18 06:00:00",0,0,0,0,1899,,,,,,533
174,0,0,0,0,877,US,"2016-11-18 17:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,DK,"2016-11-18 03:00:00",0,0,0,0,142476,,,,,,533
2,2,0,0,5,877,IN,"2016-11-18 05:00:00",0,0,0,0,75692,95477136527,,651081503,d,AdMob,60916
90,0,0,0,0,877,IE,"2016-11-18 13:00:00",0,0,0,0,1899,,,,,,533
216,0,0,0,0,877,AT,"2016-11-18 05:00:00",0,0,0,0,1899,,,,,,533
1,1,0,0,1783,877,US,"2016-11-18 22:00:00",0,0,0,0,181341,,,,[PID],,2962
6,0,0,0,0,877,CH,"2016-11-18 12:00:00",0,0,0,0,365,,,,,,47266
270,0,0,0,0,877,US,"2016-11-18 10:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,NL,"2016-11-18 15:00:00",0,0,0,0,142476,,,,,,533
18,0,0,0,0,877,CA,"2016-11-18 21:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,AT,"2016-11-18 22:00:00",0,0,0,0,142476,,,,,,533
157,0,0,0,0,877,DK,"2016-11-18 17:00:00",0,0,0,0,1899,,,,,,533
0,0,5,4,98,877,RU,"2016-11-18 03:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
144,0,0,0,0,877,CA,"2016-11-18 10:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,AT,"2016-11-18 17:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,US,"2016-11-18 21:00:00",0,4,0,0,0,,,,,,114023
214,0,0,0,0,877,AT,"2016-11-18 01:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,IR,"2016-11-18 06:00:00",2,0,0,0,0,,,,,,123959
6,0,0,0,0,877,CH,"2016-11-18 19:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-18 15:00:00",0,0,0,0,334322,,,default,851882d1a2ad79e6_default,,2962
0,0,0,0,0,877,JP,"2016-11-18 01:00:00",0,0,0,0,0,,,,,,70826
0,0,1,1,98,877,RU,"2016-11-18 12:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,54699dd9e34a284027000042,2962
1,1,0,0,1783,877,US,"2016-11-18 04:00:00",0,0,0,0,181341,,,,[PID],,2962
1,0,1,1,98,877,CN,"2016-11-18 21:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,57944f0c64c72d066f000037,2962
78,0,0,0,0,877,DE,"2016-11-18 09:00:00",0,0,0,0,365,,,,,,533
42,0,0,0,0,877,AT,"2016-11-18 05:00:00",0,0,0,0,365,,,,,,533
336,0,0,0,0,877,US,"2016-11-18 23:00:00",0,0,0,0,365,,,,,,47266
1,0,0,0,550,877,US,"2016-11-18 17:00:00",0,0,0,0,34794,,,2536215,,,2385
6,0,0,0,0,877,CH,"2016-11-18 10:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,CA,"2016-11-18 14:00:00",0,0,0,0,365,,,,,,47266
12,0,0,0,0,877,SE,"2016-11-18 08:00:00",0,0,0,0,142476,,,,,,533
0,0,1,1,98,877,RU,"2016-11-18 16:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5627fe80574392774e000012,2962
144,0,0,0,0,877,CA,"2016-11-18 05:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 11:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 18:00:00",0,0,0,0,142476,,,,,,533
30,0,0,0,0,877,IT,"2016-11-18 12:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,US,"2016-11-18 02:00:00",1,1,0,0,0,,,,,,2385
18,0,0,0,0,877,CA,"2016-11-18 05:00:00",0,0,0,0,142476,,,,,,533
30,0,0,0,0,877,NL,"2016-11-18 08:00:00",0,0,0,0,142476,,,,,,533
66,0,0,0,0,877,CH,"2016-11-18 08:00:00",0,0,0,0,1899,,,,,,533
1824,0,0,0,0,877,US,"2016-11-18 15:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,US,"2016-11-18 20:00:00",0,9,0,0,0,,,,,,114023
6,0,0,0,0,877,DK,"2016-11-18 22:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,UK,"2016-11-18 14:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,CH,"2016-11-18 05:00:00",0,0,0,0,365,,,,,,533
109,0,0,0,0,877,SE,"2016-11-18 01:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,CA,"2016-11-18 08:00:00",0,0,0,0,365,,,,,,47266
1,0,0,0,0,877,INT,"2016-11-18 12:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,AT,"2016-11-18 09:00:00",0,0,0,0,142476,,,,,,533
1,1,0,0,1398,877,US,"2016-11-18 16:00:00",0,0,0,0,124462,,,,aips,,2962
30,0,0,0,0,877,IT,"2016-11-18 17:00:00",0,0,0,0,365,,,,,,533
270,0,0,0,0,877,US,"2016-11-18 16:00:00",0,0,0,0,365,,,,,,533
108,0,0,0,0,877,SE,"2016-11-18 13:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,CA,"2016-11-18 17:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,CH,"2016-11-18 09:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,IE,"2016-11-18 16:00:00",0,0,0,0,142476,,,,,,533
336,0,0,0,0,877,US,"2016-11-18 22:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,IT,"2016-11-18 08:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,CN,"2016-11-18 08:00:00",1,1,0,0,0,,,,,,2385
24,0,0,0,0,877,CH,"2016-11-18 11:00:00",0,0,0,0,365,,,,,,533
0,0,0,0,0,877,IR,"2016-11-18 23:00:00",3,0,0,0,0,,,,,,123959
715,0,0,0,0,877,DE,"2016-11-18 14:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,US,"2016-11-18 09:00:00",0,0,0,0,341211,,,,,,2962
6,0,0,0,0,877,IT,"2016-11-18 10:00:00",0,0,0,0,142476,,,,,,533
18,0,0,0,0,877,CA,"2016-11-18 01:00:00",0,0,0,0,365,,,,,,533
90,0,0,0,0,877,IE,"2016-11-18 08:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,DK,"2016-11-18 15:00:00",0,0,0,0,142476,,,,,,533
108,0,0,0,0,877,SE,"2016-11-18 22:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,IT,"2016-11-18 14:00:00",0,0,0,0,142476,,,,,,533
